// Ability_KingKlout1	
Ability_KingKlout1_name	Goblin Toss
Ability_Nomad2a_tooltip_flavor	Бей!
	
//State_Nomad_Ability2_AttackSpeed	
State_Nomad_Ability2_AttackSpeed_name	True Strike Fury
	
// Ability_Nomad2b	
Ability_Nomad2b_name	Mirage Strike
Ability_Nomad2b_description	Nomad отправляет иллюзию атаковать выбранного врага. Иллюзия наносит большой урон.
Ability_Nomad2b_description_simple	Выберите врага. Ваш герой станет ^oневидимым на 3 сек.^*, а его иллюзия побежит в атаку и дополнительно нанесёт ^o{60,80,100,120}^* ед. урона^*.\n\nПерезарядка обнуляется, если в радиусе 500 ед. умирает герой врага.
Ability_Nomad2b_IMPACT_effect	Мгновенно накладывает ^oневидимость и хождение сквозь войска на 3 сек.^* Создаёт неуправляемую иллюзию, которая бросается на выбранного воина со скоростью 600 ед., проходит сквозь войска и постройки, делает цель видимой и рассеивает вокруг неё туман войны в радиусе 300 ед.\n\nДостигнув цели, иллюзия дополнительно наносит ей ^o{60,80,100,120} ед. физического урона^*. Иллюзия исчезает после броска, через 3 секунды или если оглушается, обездвиживается, либо не может свободно передвигаться. Иллюзия наносит и получает 100% урона.
Ability_Nomad2b_tooltip_flavor	Беги!
	
// Ability_Nomad3	
Ability_Nomad3_name	Wanderer
Ability_Nomad3_description	Nomad черпает силу из мастерских движений. Его клинок разит тем сильнее, чем больше он прошёл перед атакой.
Ability_Nomad3_description_simple	Пассивно увеличивает урон в виде критического удара при атаке. Сила критического удара зависит от пройденного расстояния и достигает ^o{1.4,1.6,1.8,2.0}x урон^* после передвижения на 1000 ед.\n\nЕсли у вашего героя меньше 20 зарядов способности, атака добавит 25 зарядов. При нападении на существ расходуется только половина зарядов.
Ability_Nomad3_description2	Добавляет 1 заряд за каждые 10 ед. пройденного расстояния. Максимальное количество зарядов: 100.\n\nЕсли ваш герой атакует хотя бы с 20 зарядами, он расходует все заряды и наносит критический удар на {0.004,0.006,0.008,0.01}x урон за каждый заряд. Максимальная сила критического удара: ^o{1.4,1.6,1.8,2.0}x урон^*. Если у вашего героя меньше 20 зарядов способности, атака добавит 25 зарядов.\n\nПри нападении на существ расходуется только половина зарядов.
Ability_Nomad3_tooltip_flavor	Тебе не отсидеться.
	
// Ability_Nomad4	
Ability_Nomad4_name	Edge Counter
Ability_Nomad4_description	Всё происходит в мгновение ока. Nomad отвечает на угрозу разрушительной контратакой, отменяя эффект следующей направленной на него атаки или заклинания, а также посылая в ответ мощную ударную волну.
Ability_Nomad4_description_simple	При использовании, на ^o1 сек.^* впадает в транс. Если в этом состоянии ваш герой получает удар или поражается заклинанием, он контратакует мощной ударной волной, которая ^oнаносит {200,310,420} ед. магического урона^* и ^oоглушает на {2,2.5,3} сек.^*.\n\nПуская волну, Nomad избавляется от оглушения и ослаблений.
Ability_Nomad4_IMPACT_effect	На 1 секунду становится неподвижен и готов к контратаке. Первый герой врага, который в это время наносит урон вашему герою, использует на нём способность или предмет, ^oничего не добьётся, с вашего героя будут сняты оглушение и ослабления, в ответ он контратакует героя врага ударной волной^*.\n\nЭта волна проходит 875 ед., наносит ^o{200,310,420} ед. магического урона при столкновении и оглушает на {2,2.5,3} сек.^*
	
Ability_Nomad4_tooltip_flavor	Atemi Nage > Reppuken
	
// State_Nomad_Ability1	
State_Nomad_Ability1_name	Sandstorm
	
// State_Nomad_Ability1_Allies	
State_Nomad_Ability1_Allies_name	Sand Veil
	
// State_Nomad_Ability1_Enemies	
State_Nomad_Ability1_Enemies_name	Sand Blasted
	
// State_Nomad_Ability2_Invis	
State_Nomad_Ability2_Invis_name	Mirage Strike
	
// State_Nomad_Ability3	
State_Nomad_Ability3_name	Wanderer
	
// State_Nomad_Ability4	
State_Nomad_Ability4_name	Edge Counter
	
// Ability_Oogie1	
Ability_Oogie1_name	Tar Quake
Ability_Oogie1_description	После небольшой задержки наносит урон врагам в выбранной области и замедляет их. Способность можно использовать несколько раз, при этом расход маны постоянно увеличивается.
Ability_Oogie1_description2	
Ability_Oogie1_description_simple	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам ^o{70,120,170,220} ед. магического урона^* и ^oзамедляет их максимум на 35%^* на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_effect_header	
Ability_Oogie1_effect_header2	
Ability_Oogie1_tooltip_flavor	Жаль, что я не захватил с собой перья.
Ability_Oogie1_IMPACT_effect	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {70,120,170,220} ед. магического урона и замедляет их на 5-35% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_IMPACT_effect:Oogie_Bolt_Start	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {80,130,180,230} ед. магического урона и замедляет их на 10-40% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_IMPACT_effect:Oogie_Bolt_Low	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {90,140,190,240} ед. магического урона и замедляет их на 15-45% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_IMPACT_effect:Oogie_Bolt_Mid	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {100,150,200,250} ед. магического урона и замедляет их на 20-50% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_IMPACT_effect:Oogie_Bolt_High	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {110,160,210,260} ед. магического урона и замедляет их на 25-55% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
Ability_Oogie1_IMPACT_effect:Oogie_Bolt_Final	Выберите место. Через 0,75 сек. там вскипит смола. Она наносит врагам {120,170,220,270} ед. магического урона и замедляет их на 30-60% на 2 сек. Замедление зависит от расстояния до центра.\n\nС каждым использованием способности, затраты маны увеличиваются на 30 ед., урон на 10 ед., а замедление на 5%. Максимальное количество использований: 5.
	
// Gadget_Oogie_Ability1	
Gadget_Oogie_Ability1_name	
Gadget_Oogie_Ability1_description	
Gadget_Oogie_Ability1_role	
	
// State_Oogie_Ability1	
State_Oogie_Ability1_name	Tar Quake
State_Oogie_Ability1_description	С каждым зарядом затраты маны на Кипящую смолу увеличиваются на 30 ед.\nОбновляется при повторном использовании Кипящей смолы.
State_Oogie_Ability1_description2	
State_Oogie_Ability1_description_simple	
State_Oogie_Ability1_IMPACT_effect	
	
	
// State_Oogie_Ability1_Slow	
State_Oogie_Ability1_Slow_name	Tar Quake
State_Oogie_Ability1_Slow_description	
State_Oogie_Ability1_Slow_description2	
State_Oogie_Ability1_Slow_description_simple	
	
// Ability_Oogie2	
Ability_Oogie2_name	Conflagrate
Ability_Oogie2_description	Включите, чтобы ваш герой начал быстрее двигаться и сжигать врагов вокруг себя ценой быстрого расхода маны.
Ability_Oogie2_description2	
Ability_Oogie2_description_simple	Активируемая способность. При включении, тратит 5% от максимального запаса маны вашего героя в секунду.\n\nКаждую секунду наносит окружающим врагам ^o{10,20,30,40} ед. магического урона^* с прибавкой ^o{2,3,4,5}%^* от максимального запаса маны вашего героя.\n\n^oУскоряет движение на {5,10,15,20}%^*.
Ability_Oogie2_effect_header	
Ability_Oogie2_effect_header2	
Ability_Oogie2_tooltip_flavor	Давайте сожжём это чучело!
Ability_Oogie2_IMPACT_effect	Активируемая способность. При включении, тратит 5% от максимального запаса маны вашего героя в секунду. Каждую секунду наносит окружающим врагам {10,20,30,40} ед. магического урона с прибавкой {2,3,4,5}% от максимального запаса маны вашего героя. Ускоряет движение на {5,10,15,20}%.
	
// State_Oogie_Ability2	
State_Oogie_Ability2_name	Conflagrate
State_Oogie_Ability2_description	
State_Oogie_Ability2_description2	
State_Oogie_Ability2_description_simple	
State_Oogie_Ability2_FRAME_effect	Наносит магический урон окружающим врагам ценой быстрого расхода маны.
State_Oogie_Ability2_EXPIRED_effect	
	
// State_Oogie_Ability2_Aura	
State_Oogie_Ability2_Aura_name	Conflagrate
State_Oogie_Ability2_Aura_description	
State_Oogie_Ability2_Aura_description2	
State_Oogie_Ability2_Aura_description_simple	
State_Oogie_Ability2_Aura_FRAME_effect	Сжигает врагов вокруг себя.
	
// State_Oogie_Ability2_Counter	
State_Oogie_Ability2_Counter_name	
State_Oogie_Ability2_Counter_description	
State_Oogie_Ability2_Counter_description2	
State_Oogie_Ability2_Counter_description_simple	
State_Oogie_Ability2_Counter_EXPIRED_effect	
State_Oogie_Ability2_Counter_INFLICT_effect	
State_Oogie_Ability2_Counter_REFRESH_effect	
	
// Ability_Oogie3	
Ability_Oogie3_name	Kindled Fury
Ability_Oogie3_description	Пассивная способность. Oogie раздаёт крепкие тумаки, периодически нанося дополнительный магический урон и восстанавливая свою ману.
Ability_Oogie3_description2	
Ability_Oogie3_effect_header	
Ability_Oogie3_effect_header2	
Ability_Oogie3_tooltip_flavor	Мои руки светятся в темноте.
Ability_Oogie3_IMPACT_effect	
Ability_Oogie3_description_simple	Если не на перезарядке, пассивно добавляет к следующей атаке вашего героя магический урон, равный ^o{4,6,8,10}%^* от потраченной маны. ^oВосстанавливает ману^* в двойном размере от нанесённого урона.\n\nПассивно ускоряет перезарядку на 1 сек. за каждые 75 ед. потраченной маны.
Ability_Oogie3_ATTACK_IMPACT_effect	Пассивно добавляет к следующей атаке вашего героя магический урон, равный {4,6,8,10}% от потраченной маны. Восстанавливает {8,12,16,20}% потраченной маны.\n\nПассивно ускоряет перезарядку на 1 сек. за каждые 75 ед. потраченной маны.
	
// Ability_Oogie4	
Ability_Oogie4_name	Primal Surge
Ability_Oogie4_description	Oogie ненадолго превращается в воинственного дикаря, который исцеляется за счёт расходования маны и частично восполняет ману при получении урона.
Ability_Oogie4_description2	
Ability_Oogie4_description_simple	Используйте, чтобы на 16 секунд освободить внутреннего дикаря вашего героя.\n\nВ этом облике ваш герой восстанавливает ману в размере ^o{40,50,60}%^* от получаемого урона. Кроме того, ^o{50,60,70}%^* всей потраченной маны переводится в здоровье.
Ability_Oogie4_effect_header	Эффекты Внутреннего дикаря
Ability_Oogie4_effect_header2	
Ability_Oogie4_tooltip_flavor	Ты в последний раз слышишь военную песню моего племени.
Ability_Oogie4_IMPACT_effect	Используйте, чтобы наложить на вашего героя эффект Внутренний дикарь на 16 сек.
	
// State_Oogie_Ability4	
State_Oogie_Ability4_name	Primal Surge
State_Oogie_Ability4_description	
State_Oogie_Ability4_description2	
State_Oogie_Ability4_description_simple	
State_Oogie_Ability4_FRAME_effect	{40,50,60}% получаемого урона восстанавливает ману, {50,60,70}% потраченной маны переводится в здоровье.
State_Oogie_Ability4_EXPIRED_effect	
	
// State_Oogie_Ability4_Enemy	
State_Oogie_Ability4_Enemy_name	Primal Surge
State_Oogie_Ability4_Enemy_description	
State_Oogie_Ability4_Enemy_description2	
State_Oogie_Ability4_Enemy_description_simple	
State_Oogie_Ability4_Enemy_FRAME_effect	Получаемый урон восстанавливает ману, потраченная мана переводится в здоровье.
State_Oogie_Ability4_Enemy_EXPIRED_effect	
	
// Hero_Oogie	
Hero_Oogie_name	Oogie
Hero_Oogie_description	Леса Новоземья хранят секреты великой силы. Если умеешь говорить с деревьями и растениями, можно прикоснуться прямиком к корням Мирового древа, в извечных соках жизни которого заключена бесценная память о первородной мощи повелителей стихий. Но мощь эта всегда имеет свою цену или требует превращения.
Hero_Oogie_role	Oogie - кэрри и воин ближнего боя, увеличивающий урон за счёт маны. Переключаясь между Сжиганием и Внутренним дикарём, Oogie может наносить большой урон по области. Накопив достаточно маны, он становится очень живучим героем.
	
	
// Ability_Ophelia1	
Ability_Ophelia1_name	Nature's Wrath
Ability_Ophelia1_description	Ophelia поражает выбранного врага силой природы и замедляет его. Пока действует способность, цель получает дополнительный урон, размер которого зависит от обычного получаемого урона.
Ability_Ophelia1_description_simple	Выберите врага, чтобы ^oзамедлить его движение на {15,20,25,30}%^* и ^oувеличить получаемый урон на {15,20,25,30}%^* на 7 сек.
Ability_Ophelia1_effect_header	Эффекты Гнева природы
Ability_Ophelia1_IMPACT_effect	Накладывает на цель эффект Гнев природы на 7 сек.
Ability_Ophelia1_tooltip_flavor	Не поступай наперекор природе.
	
// State_Ophelia_Ability1_Enemy	
State_Ophelia_Ability1_Enemy_name	Nature's Wrath
State_Ophelia_Ability1_Enemy_description	
	
// Ability_Ophelia2	
Ability_Ophelia2_name	Ophelia's Judgment
Ability_Ophelia2_description	Ophelia судит выбранного воина. Если это враг, он получает урон. Если союзник, он переносится в безопасное место. Управляемые Ophelia воины телепортируются мгновенно.
Ability_Ophelia2_description_simple	Выберите воина для суда. Если цель - союзник, он переносится на базу вашей команды. Подготовка к переносу занимает ^o{5.5,5,4.5,4} сек.^*, управляемые вашим героем воины переносятся мгновенно. Если цель - враг, он получает ^o{75,150,225,300} ед. магического урона^*.\n\nНельзя использовать на существах на линии.
Ability_Ophelia2_IMPACT_effect	Если цель - враг, он получает {75,150,225,300} ед. магического урона.\n\nЕсли цель - управляемый вашим героем союзник, он сразу будет перенесён в точку рождения.\n\nЕсли цель - другой союзник, он будет перенесён в точку рождения после завершения подготовки, через {5.5,5,4.5,4} сек.\n\nНельзя использовать на существах на линии.
Ability_Ophelia2_tooltip_flavor	Я могу заставить тебя исчезнуть! Абракадабра, ты испарился!
	
// State_Ophelia_Ability2	
State_Ophelia_Ability2_name	Ophelia's Judgment
State_Ophelia_Ability2_description	По истечении срока действия, телепортирует этого воина в точку рождения союзников.
	
// Ability_Ophelia3	
Ability_Ophelia3_name	Command
Ability_Ophelia3_description	Ophelia захватывает контроль над разумом рядового неигрового персонажа. Здоровье воинов под командованием Ophelia увеличивается на {40,120,160,200} ед.
Ability_Ophelia3_description_simple	Выберите нейтральное существо, чтобы навсегда получить над ним контроль. Максимум одновременно контролируемых существ: ^o{1,1,2,3}^*. Максимум здоровья контролируемых существ увеличивается на ^o{40,120,160,200} ед.^*, а ^oскорость движения - на {10,20,30,40} ед^*.
Ability_Ophelia3_effect_header	Эффекты Команды
Ability_Ophelia3_IMPACT_effect	Подчиняет цель, навсегда получая над ней контроль. Максимальное количество контролируемых существ: {1,1,2,3}. Накладывает на этих существ эффект Команда Ophelia.\n\nВосстанавливает 1 заряд каждые 30 сек. Максимальное количество зарядов: {1,1,2,3}.
Ability_Ophelia3_tooltip_flavor	Создание, помоги мне... ради Новоземья.
	
// State_Ophelia_Ability3	
State_Ophelia_Ability3_name	Ophelia's Command
State_Ophelia_Ability3_description	
	
// Ability_Ophelia3_Target	
Ability_Ophelia3_Target_name	Sacrifice
Ability_Ophelia3_Target_IMPACT_effect	Используйте, чтобы мгновенно убить этого воина. Нельзя использовать, если воин получал урон от героев в последние 10 секунд.
Ability_Ophelia3_Target_description_simple	Используйте, чтобы мгновенно убить этого воина. Нельзя использовать, если воин получал урон от героев в последние 10 секунд.
	
// Ability_Ophelia4	
Ability_Ophelia4_name	Ophelia's Touch
Ability_Ophelia4_description	Любовь Ophelia к живым созданиям позволяет ей творить чудеса исцеления. Она исцеляет всех союзных героев на карте и воинов в своём подчинении.
Ability_Ophelia4_description2	^gЭту способность можно усилить Посохом владыки.^*\n\n^gЭффект посоха:^* ускоряет перезарядку со 120 до 30 секунд.
Ability_Ophelia4_description_simple	Используйте, чтобы восстановить ^o{200,300,400} ед. здоровья^* всем союзным героям и {600,900,1200} ед. здоровья всем воинам в подчинении вашего героя. Воины под действием способности получают ^o{5,10,15} регенерации здоровья на 10 секунд.^*\n\n^gПосох владыки^* существенно ускоряет перезарядку этой способности.
Ability_Ophelia4_effect_header	Эффекты Касания Ophelia
Ability_Ophelia4_IMPACT_effect	Исцеляет всех союзных героев на карте, восстанавливая им {200,300,400} ед. здоровья. Исцеляет всех подчинённых вашему герою воинов на карте, восстанавливая им {600,900,1200} ед. здоровья.\n\nВоины под действием способности получают ^o{5,10,15} регенерации здоровья на 10 секунд.^*
Ability_Ophelia4_name:ult_boost	Дар Ophelia ^g(усилена)^*
Ability_Ophelia4_description2:ult_boost	^gЭта способность усилена Посохом владыки.^*\n\n^gПерезарядка 30 секунд.
Ability_Ophelia4_description_simple:ult_boost	Используйте, чтобы восстановить всем союзным героям ^o{200,300,400} ед. здоровья^*, а воинам в подчинении вашего героя - {600,900,1200} ед. здоровья. Воины под действием способности получают ^o{5,10,15} регенерации здоровья на 10 секунд.^*\n\n^gЭта способность усилена Посохом владыки.^*
Ability_Ophelia4_tooltip_flavor	Выпей отвар перед сном и утром будешь, как новенький.
	
// State_Ophelia_Ability4	
State_Ophelia_Ability4_name	Ophelia's Touch
State_Ophelia_Ability4_description	
	
// Hero_Ophelia	
Hero_Ophelia_name	Ophelia
Hero_Ophelia_description	Только глухой затворник не слышал про Королеву зверей Ophelia, которая приходится сестрой самому Jeraziah. Её достоинствам несть числа, но больше всего королеву чтут за врождённое умение говорить с любым созданием природы. Воительница и командир, Ophelia поставила власть над природой на службу Легиону. Она исцеляет союзников и призывает диких обитателей Новоземья под свои знамёна.
Hero_Ophelia_role	Игра Ophelia строится вокруг контроля нейтральных существ с помощью Команды. Эти подручные позволяют ей помогать команде постоянными набегами и продавливанием направлений. Кроме того, Касание Ophelia позволяет мгновенно исцелять всех союзных героев и подручных на карте.
	
// Ability_Panda1	
Ability_Panda1_name	Flurry
Ability_Panda1_description	Pandamonium атакует врагов шквалом ударов, нанося физический урон противникам перед собой, отбрасывая их и следуя за ними.
Ability_Panda1_description_simple	Используйте, чтобы ваш герой ударил врагов перед собой, нанёс им урон в размере ^oсилы атаки с прибавкой {15,25,35,45}% от базового урона^* и ^oпродвинулся на 100 ед. вперёд^*, оттеснив противника.
Ability_Panda1_description2	
Ability_Panda1_IMPACT_effect	Наносит физический урон в размере силы атаки вашего героя с прибавкой {15,25,35,45}% от базового урона. Урон наносится целям перед вашим героем в расширяющейся области с углом в 90 градусов и длиной 200 ед. Ваш герой перемещается на 100 ед. вперёд и теснит задетых врагов.\n\nЗаряд восстанавливается каждые 4 секунды. Максимальное количество зарядов: {1,2,3,4}.
Ability_Panda1_tooltip_flavor	Я не толстый, у меня кость широкая!
	
// Ability_Panda2	
Ability_Panda2_name	Flick
Ability_Panda2_description	Pandamonium шутя разбрасывает противников, подкидывая в воздух, а затем роняя за своей спиной. Упавший враг замедляется и теряет часть брони.
Ability_Panda2_description_simple	Выберите врага, чтобы ваш герой ^oпрыгнул на него и перебросил через себя^*. Потрясённый враг теряет ^o{2,4,6,8} ед. брони^* и ^oдвижется медленней на {20,30,40,50} ед.^* (ослабевающий эффект).
Ability_Panda2_description2	
Ability_Panda2_effect_header	Эффекты Шлепка
Ability_Panda2_IMPACT_effect	Ваш герой прыгает на выбранного воина и перебрасывает его через себя.\n\nЦель находится в воздухе 1 секунду. Приземляясь, она получает эффект Шлёпнулся на 6 секунд. При приземлении активируются эффекты «При ранении».
Ability_Panda2_tooltip_flavor	Лети, лети, лепесток!
	
// State_Panda_Ability2_Bind	
State_Panda_Ability2_Bind_name	Flicked
	
// State_Panda_Ability2_Slow	
State_Panda_Ability2_Slow_name	Flicked
State_Panda_Ability2_Slow_description	
State_Panda_Ability2_Slow_description2	
State_Panda_Ability2_Slow_FRAME_effect	Первоначально теряет {20,30,40,50}% скорости движения, эффект ослабевает в течение 6 секунд.
	
// Ability_Panda3	
Ability_Panda3_name	Cannon Ball
Ability_Panda3_description	Pandamonium высоко подпрыгивает и падает в выбранное место, нанося урон окрестным врагам и оглушая их.
Ability_Panda3_description_simple	Выберите место для приземления. Ваш герой прыгнет туда, нанесёт ^o{100,175,250,325} ед. физического урона^* врагам в области действия и ^oоглушит их на {1.5,1.75,2,2.25} сек.^*
Ability_Panda3_IMPACT_effect	Ваш герой высоко подпрыгивает и через 0,95 сек. приземляется в выбранное место, нанося {100,175,250,325} ед. физического урона врагам в радиусе 200 ед. и оглушая их на {1.5,1.75,2,2.25} сек.
Ability_Panda3_tooltip_flavor	Куда я дел парашют?!
	
// Ability_Panda4	
Ability_Panda4_name	Face Smash
Ability_Panda4_description	Pandamonium нещадно лупит выбранного врага, обезвреживая его и нанося пять очень сильных ударов в считанные секунды.
Ability_Panda4_description_simple	Выберите врага, чтобы ваш герой ^oоглушил его на 4 секунды^* и нанёс пять ударов с ^oуроном, превышающим базовый на {30,75,120}%^*. Прерываемая способность.
Ability_Panda4_effect_header	Эффекты Мордобоя
Ability_Panda4_IMPACT_effect	Некоторое время мутузит цель. Наносит один удар в секунду, вплоть до 5 ударов. Каждый удар считается Точным ударом и наносит урон, превышающий базовый на {30,75,120}%.
Ability_Panda4_tooltip_flavor	Не заигрывай с детёнышами панд, понял?
	
// State_Panda_Ability4	
State_Panda_Ability4_name	Face Smashed
State_Panda_Ability4_description	
State_Panda_Ability4_description2	
	
// State_Panda_Ability4_Self	
State_Panda_Ability4_Self_name	Face Smashing!
State_Panda_Ability4_Self_description	
State_Panda_Ability4_Self_description2	
State_Panda_Ability4_Self_IMPACT_effect	
	
// Hero_Panda	
Hero_Panda_name	Pandamonium
Hero_Panda_description	Pandamonium - последний из народа воинственных монахов, поклявшихся мирно существовать в туманных горах Сан-Ла. Ему пришлось оставить бамбуковые рощи и отправиться в бой. Он движется с ловкостью, поразительной для столь крупного существа. Его кулаки на удивление крепки для такого, казалось бы, добродушного зверя. Хоть монах и очень немногословен, другие животные почитают его как великого мудреца.
Hero_Panda_role	Pandamonium уникален тем, что наносит физический урон как обычными атаками, так и способностями. То есть, он хорошо подходит для борьбы с героями, полагающимися на защиту от магии. Получив Сушёную голову, этот герой не только увеличивает силу атаки, но и устраивает поистине впечатляющий Мордобой.
	
// Ability_Parallax1	
Ability_Parallax1_name	Fulcrum Shift
Ability_Parallax1_description	Parallax принудительно смещает ось в выбранное место, нанося магический урон оказавшимся на пути войскам.
Ability_Parallax1_description_simple	Выберите место, чтобы переместить туда ось ценой одного заряда. Максимальное количество зарядов: ^o{1,1,1,2,2}^*.\n\nОказавшиеся на пути смещения враги получают ^o{0,65,85,85,105} ед. магического урона с прибавкой в размере 10% от своей максимальной маны^*. Максимальное количество зарядов, восполняемых каждые ^o{9,8,7,6,5} секунд^*: ^o{1,1,1,2,2}^*.
Ability_Parallax1_effect_header	
Ability_Parallax1_IMPACT_effect	Выберите место, чтобы переместить туда ось ценой одного заряда. Максимальное количество зарядов: ^o{1,1,1,2,2}^*.\n\nОказавшиеся на пути смещения враги получают ^o{0,65,85,85,105} ед. магического урона с прибавкой в размере 10% от своей максимальной маны^*. Максимальное количество зарядов, восполняемых каждые ^o{9,8,7,6,5} секунд^*: ^o{1,1,1,2,2}^*.\n\nОсь можно отправить на расстояние до 1200 ед. Она вернётся к Parallax, если тот выйдет за пределы этого расстояния.
Ability_Parallax1_tooltip_flavor	Ты же не думаешь, что я всегда буду это носить?
	
// Ability_Parallax2	
Ability_Parallax2_name	Ionic Dash
Ability_Parallax2_description	Parallax использует силу оси, чтобы быстро к ней перенестись. Он наносит магический урон всем оказавшимся на пути врагам и заставляет их онеметь.
Ability_Parallax2_description_simple	Используйте, чтобы ваш герой быстро переместился к оси, нанеся оказавшимся на пути врагам ^o{75,95,115,135} ед. магического урона^* и заставив их ^oонеметь^* на ^o{1,1.5,2,2.5}^* секунды.\n\nЕсли за последние 4 секунды враг был задет Ионным рывком, продолжительность немоты от последующих Ионных рывков будет снижена на 50%. Если Ионный рывок затронет героя врага, способность перезарядится.
Ability_Parallax2_effect_header	
Ability_Parallax2_IMPACT_effect	Используйте, чтобы ваш герой быстро переместился к оси, нанеся оказавшимся на пути врагам ^o{75,95,115,135} ед. магического урона^* и заставив их ^oонеметь^* на ^o{1,1.5,2,2.5}^* секунды.\n\nЕсли за последние 4 секунды враг был задет Ионным рывком, продолжительность немоты от последующих Ионных рывков будет снижена на 50%. Если Ионный рывок затронет героя врага, способность перезарядится.
Ability_Parallax2_tooltip_flavor	Легко нажито - легко прожито!
	
// State_Parallax_Ability2_Silence	
State_Parallax_Ability2_Silence_name	Ionic Dash
	
// State_Parallax_Ability2_Timer	
// State_Parallax_Ability2_Timer_name	Ionic Dash (Timer)
// State_Parallax_Ability2_Timer_description	Silence duration from Ionic Dash is halved
	
// Ability_Parallax3	
Ability_Parallax3_name	Dark Mana
Ability_Parallax3_description	Parallax увеличивает свой предел маны за разрушительные действия, в то время как ось постепенно сжигает ману врагов поблизости.
Ability_Parallax3_description_simple	Пассивно даёт заряды за нанесение урона героям врага с помощью способностей. Каждый заряд увеличивает максимум маны на ^o{2,5,8,11} ед.^*\n\nГерои врага в радиусе 225 ед. от оси будут ^oкаждую секунду терять ^o8 маны + 0.5 за заряд^*.\n\nПри смерти ваш герой теряет 20% зарядов
Ability_Parallax3_effect_header	
Ability_Parallax3_IMPACT_effect	Пассивно даёт заряды за нанесение урона героям врага с помощью способностей. Каждый заряд увеличивает максимум маны на ^o{2,5,8,11} ед.^*\n\nГерои врага в радиусе 225 ед. от оси будут ^oкаждую секунду терять ^o8 маны + 0.5 за заряд^*.\n\nПри смерти ваш герой теряет 20% зарядов.\n\nМаксимальное количество хранимых зарядов: 120.
Ability_Parallax3_tooltip_flavor	А твоей мане я больше нравлюсь!
	
// Ability_Parallax4	
Ability_Parallax4_name	Earthshatter
Ability_Parallax4_name:ult_boost	Planet Cracker ^g(Boosted)^*
Ability_Parallax4_description	Parallax использует свою связь с осью для создания мощного поля, которое окружает ось и самого героя, нанося большой магический урон оказавшимся в поле героям врага.
Ability_Parallax4_description2	^gЭта способность усилена Посохом владыки.^*\n\n^gЭффект посоха:^* способность наносит высший магический урон и перезаряжается вдвое быстрее.
Ability_Parallax4_description2:ult_boost	^gЭта способность усилена Посохом владыки.^*
Ability_Parallax4_description_simple	Используйте для создания области, которая связывает Parallax и ось. Пока действует эта способность, попавшие в область герои врага ^oкаждую секунду получают магический урон^*, размер которого зависит от разницы между ^oмаксимальной маной Parallax и героя врага^*. Пока действует эта способность, ^oскорость движения Parallax увеличивается на {5,10,15}%^*, а герои врага в области действия ^oзамедляются максимум на 30%^*.\n^gПосох владыки^* позволяет способности наносить высший магический урон и перезаряжаться вдвое быстрее.
Ability_Parallax4_description_simple:ult_boost	Используйте для создания области, которая связывает Parallax и ось. Пока действует эта способность, попавшие в область герои врага ^oкаждую секунду получают магический урон^*, размер которого зависит от разницы между ^oмаксимальной маной Parallax и героя врага^*.\n\nПока действует эта способность, ^oскорость движения Parallax увеличивается на {5,10,15}%^*, а герои врага в области действия ^oзамедляются максимум на 30%^*.\n\nРасходует ^o3% максимальной маны в секунду^*.\n\n^gЭта способность усилена Посохом владыки.^*
Ability_Parallax4_effect_header	
