Ability_Defiler4_description,"Defiler выпускает из себя несколько неуязвимых духов. Ими нельзя управлять напрямую, но духи нападают на ближайших врагов и атакуют цель, которую атакует сама Defiler. Когда способность Unholy Expulsion заканчивает свое действие, духи исцеляют Defiler."
Ability_Defiler4_description_simple,"Активируйте, чтобы призвать ^o{6,11,16} неуязвимых духов и дополнительных духов от способности Power in Death^* на 30 сек., которые атакуют ту же цель, что и ваш герой. Максимум {10,15,20} духов.\n\nКогда способность закончит свое действие, духи исцелят Defiler. Каждый дух имеет 46 ед. урона и передвигается со скоростью {400,450,500} ед.\n\n^gСпособность можно усилить Staff of the Master:^* пока духи активны, позволяет вам повторно активировать способность и быстро отправить духов к указанной цели. Если в качестве цели указан вражеский воин или строение, духи проведут одну атаку с 75% уроном и вернутся к Defiler. Если в качестве цели указан союзный герой, духи будут поглощены, исцелив союзника на половину от нанесенного ими урона за время действия способности."
Ability_Defiler4_effect_header,Эффект(-ы) Unholy Expulsion
Ability_Defiler4_IMPACT_effect,"Призывает {6,11,16} неуязвимых летающих духов и дополнительных духов от способности Power in Death, которые следуют за вашим героем в течение 30 сек. Максимум {10,15,20} духов.\n\nДухи наносят 46 ед. физического урона за атаку (игнорируя блокирование) со скоростью одна атака в 2 сек. и передвигаются со скоростью {400,450,500} ед. Духи атакуют ту же цель, что и ваш герой, или случайные цели вокруг.\n\nКогда способность закончит свое действие, духи вернутся к Defiler и исцелят её на 100% от нанесенного ими урона за время действия способности."
Ability_Defiler4_description_simple:ult_boost,"Активируйте, чтобы призвать ^o{6,11,16} неуязвимых духов и дополнительных духов от способности Power in Death^* на 30 сек., атакующую ту же цель, что и ваш герой. Максимум {10,15,20} духов.\n\nКогда способность закончит свое действие, духи исцелят Defiler. Каждый дух имеет 46 ед. урона и передвигается со скоростью {400,450,500} ед.\n\nПозволяет отправлять духов к указанной цели для проведения ими одной атаки с 75% уроном. Если в качестве цели указан союзный герой, духи будут поглощены, исцелив союзника на половину от нанесенного ими урона за время действия способности.\n\n^gСпособность усилена Staff of the Master.^*"
Ability_Defiler4_IMPACT_effect:ult_boost,"Призывает {6,11,16} неуязвимых летающих духов и дополнительных духов от способности Power in Death, которые следуют за вашим героем в течение 30 сек. Максимум {10,15,20} духов.\n\nДухи наносят 46 ед. физического урона за атаку (игнорируя блокирование) со скоростью одна атака в 2 сек. и передвигаются со скоростью {400,450,500} ед. Духи атакуют ту же цель, что и ваш герой, или случайные цели вокруг.\n\nКогда способность закончит свое действие, духи вернутся к Defiler и исцелят её на 100% от нанесенного ими урона за время действия способности."
Ability_Defiler4_tooltip_flavor,Призраки в Новоземье!
Ability_Defiler4_name:Defiler4_SotM_Active,Unholy Expatriation ^g(Усилено)^*
Ability_Defiler4_description2:Defiler4_SotM_Active,^gСпособность усилена Staff of the Master.^*
Ability_Defiler4_description_simple:Defiler4_SotM_Active,"Активируйте способность повторно, пока духи активны, чтобы быстро отправить их к указанной цели. Если в качестве цели указан вражеский воин или строение, духи проведут одну атаку с 75% уроном и вернутся к Defiler.\n\nЕсли в качестве цели указан союзный герой, духи будут поглощены, исцелив союзника на половину от нанесенного ими урона за время действия способности."
Ability_Defiler4_IMPACT_effect:Defiler4_SotM_Active,"Пока духи активны, можно активировать способность повторно и быстро отправить духов к указанной цели. Если в качестве цели указан вражеский воин или строение, духи проведут одну атаку с 75% уроном и вернутся к Defiler.\n\nЕсли в качестве цели указан союзный герой, духи будут поглощены, исцелив союзника на половину от нанесенного ими урона за время действия способности."
Pet_Defiler_Ability4_name,Spirit
Hero_Defiler_name,Defiler
Hero_Defiler_description,"Окутанная тенями и остатками проклятых душ, Defiler купается в разложении, муках и безумии. Она черпает силу из смерти окружающих и способна выпускать из своей плоти живые, страдающие тени. Вселяя трепет в сердца немеющих врагов и неся им гибель, она по праву зовётся ""Госпожой обречённых""."
Hero_Defiler_role,"Главным источником урона героя Defiler является способность Unholy Expulsion, для которой необходимо оставаться в живых. В свою очередь, постоянное давление на линиях способностями Wave of Death и Unholy Expulsion, позволяет приобрести защитные предметы."
Ability_Devourer1_name,Guttling Hook
Ability_Devourer1_description,"Devourer запускает свой крюк в указанного воина или место. Воин, оказавшийся первым на пути крюка, будет притянут к герою."
Ability_Devourer1_description2,^gСпособность можно усилить Staff of the Master.^*\n\n^gЭффект усиления:^* увеличивает дальность способности на 500 ед. и сокращает время восстановления до 6 сек.
Ability_Devourer1_description_simple,"Укажите место, чтобы запустить туда крюк. Воин, оказавшийся первым на пути крюка, будет притянут к вашему герою. Если задет вражеский воин, он также получит ^o{100,200,300,400} ед. физического урона^* и будет ^oкратковременно оглушён^*.\n\n^gStaff of the Master^* увеличивает дальность способности на 500 ед. и сокращает время восстановления до 6 сек."
Ability_Devourer1_effect_header,Эффект(-ы) Guttling Hook
Ability_Devourer1_IMPACT_effect,"Запускает крюк, который хватает первого попавшегося живого воина. Задетый воин получает {100,200,300,400} ед. физического урона, если это враг, и притягивается к вашему герою. Во время притягивания цель оглушена."
Ability_Devourer1_tooltip_flavor,Get over here!
Ability_Devourer1_name:ult_boost,Extra Hungry Hook ^g(Усилено)^*
Ability_Devourer1_description2:ult_boost,^gСпособность усилена Staff of the Master.^*
Ability_Devourer1_description_simple:ult_boost,"Укажите место, чтобы запустить туда крюк. Воин, оказавшийся первым на пути крюка, будет притянут к вашему герою. Если задет вражеский воин, он также получит ^o{100,200,300,400} ед. физического урона^* и будет ^oкратковременно оглушён^*.\n\n^gСпособность усилена Staff of the Master.^*"
State_Devourer_Ability1_name,Hooked
Ability_Devourer2_name,Decay
Ability_Devourer2_description,"Devourer начинает разлагаться, постепенно теряя здоровье и выпуская ядовитые газы, которые наносят урон окружающим врагам и замедляют их."
Ability_Devourer2_description_simple,"Активируйте, чтобы включить/выключить способность. Активированная способность наносит ^o{25,50,75,100} ед. магического урона в сек.^* как вашему герою, так и окружающим его врагам. ^oУменьшает скорость передвижения врагов на 20%^*."
Ability_Devourer2_effect_header,Эффект(-ы) Decay
Ability_Devourer2_IMPACT_effect,"Активированная способность наносит {25,50,75,100} ед. магического урона в сек. как вашему герою, так и окружающим его врагам. На задетых врагов накладывается эффект Decay, который действует ещё 2 сек. после выхода из области действия."
Ability_Devourer2_tooltip_flavor,Чем это пахнет?
State_Devourer_Ability2_Other_name,Decay
State_Devourer_Ability2_Other_FRAME_effect,"{25,50,75,100} ед. магического урона в сек."
State_Devourer_Ability2_Self_name,Decay
State_Devourer_Ability2_Self_FRAME_effect,"{25,50,75,100} ед. магического урона в сек."
Ability_Devourer3_name,Cadaver Armor
Ability_Devourer3_description,Этот гротескный доспех увеличивает магическую броню Devourer и навсегда добавляет ему силу за каждого вражеского героя погибшего рядом.
Ability_Devourer3_description_simple,"Пассивно добавляет вашему герою ^o{0,1,2,3,4} ед. магической брони^*.\n\nНавсегда даёт ^o1 ед. силы^*, когда рядом погибает вражеский герой."
Ability_Devourer3_KILL_effect,Навсегда даёт 1 ед. силы за каждого вражеского героя погибшего рядом.
Ability_Devourer3_effect_header,Эффект(-ы) Cadaver Armor
Ability_Devourer3_tooltip_flavor,Зло не победить!
State_Devourer_Ability3_FRAME_effect,"Devourer получит 1 ед. силы ,если ваш герой будет убиты другим героем"
Ability_Devourer4_name,Devour
Ability_Devourer4_description,"Devourer хватает указанного врага и вгрызается в него. Каждую секунду пожирания он наносит цели огромный урон, попутно увеличивая свою силу."
Ability_Devourer4_description2,
Ability_Devourer4_description_simple,"Укажите вражеского воина, чтобы произносить заклинание до ^o3 сек.^*, нанося цели ^o{75,125,175} ед. магического урона в сек.^* и накладывая оглушение. Ежесекундно, пока действует способность, Devourer получает временное увеличение здоровья и радиуса действия способности ^oDecay^*."
Ability_Devourer4_effect_header,Эффект(-ы) Devour
Ability_Devourer4_IMPACT_effect,"Пока действует способность, накладывает эффект Devour на цель.\n\nЕжесекундно ваш герой получает заряд на 7 сек, увеличивающий здоровье вашего героя на  {75,125,175} ед. и радиус действия способности Decay на {30,40,50} ед. У каждого заряда своя продолжительность действия."
Ability_Devourer4_tooltip_flavor,Воплощение Дамера!
State_Devourer_Ability4_name,Devour
State_Devourer_Ability4_FRAME_effect,"{75,125,175} ед. магического урона в сек."
State_Devourer_Ability4_Stage1_name,Devour
State_Devourer_Ability4_Stage2_name,Devour
State_Devourer_Ability4_Stage3_name,Devour
Hero_Devourer_name,Devourer
Hero_Devourer_description,"Толстый и вонючий Devourer живёт только для того, чтобы есть. Он поглощает и уничтожает всё на своём пути. Никакая боль не может сравниться с муками его голода, а потому обжору не волнуют раны. Он бродит по местам битв в поисках плоти, заливая всё гноем и разнося болезни."
Hero_Devourer_role,"Громадный и толстый Devourer живуч, но крайне медлителен. Не в силах догнать врагов, он притягивает их к себе способностью Guttling Hook. Devourer способен пожирать ближайших противников, увеличивая свою силу."
Ability_DiseasedRider1_name,Contagion
Ability_DiseasedRider1_description,"Plague Rider мгновенно насылает на противника чуму, нанося урон и заражая всех врагов рядом с целью."
Ability_DiseasedRider1_description_simple,"Укажите вражеского воина, чтобы нанести ^o{120,190,260,330} ед. магического урона^*, а также ^o{75,100,125,150} ед. магического урона^* врагам в небольшой области от цели. При убийстве указанного воина, ближайшие существа получат ^oдвойной урон^*.\n\n^oСкорость передвижения^* задетых врагов ^oуменьшается на 30%^* на {2.5,3,3.5,4} сек."
Ability_DiseasedRider1_effect_header,Эффект(-ы) Diseased
Ability_DiseasedRider1_IMPACT_effect,"Наносит {120,190,260,330} ед. магического урона указанному вражескому воину и {75,100,125,150} ед. магического урона врагам в радиусе 200 ед. от указанной цели. Если заклинание убивает указанного воина, окружающие существа получат ещё {75,100,125,150} ед. магического урона.\n\nCкорость передвижения задетых этой способностью врагов уменьшается на 30% на {2.5,3,3.5,4} сек."
Ability_DiseasedRider1_tooltip_flavor,"Возможно, тебе следует показаться врачу."
State_DiseasedRider_Ability1_name,Diseased
State_DiseasedRider_Ability1_Slow_name,Diseased
Ability_DiseasedRider2_name,Earthblight
Ability_DiseasedRider2_description,"Из-под земли вырываются тронутые временем кости убитых существ. Пропитанные чёрной магией, они некоторое время пытаются утянуть врагов за собой."
Ability_DiseasedRider2_description_simple,"Укажите область, чтобы нанести ^o{40,60,80,100} ед. магического урона^* врагам и отравить землю под ними. Earthblight ^oуменьшает магическую броню на {1,2,3,4} ед.^* и медленно тянет врагов к их прежнему местоположению в течение 4 сек.\n\nЕсли цель отходит слишком далеко от прежнего местоположения, она будет возвращена назад. Эффект срабатывает только один раз на цель."
Ability_DiseasedRider2_effect_header,Эффект(-ы) Earthblight
Ability_DiseasedRider2_IMPACT_effect,"Укажите область, чтобы нанести ^o{40,60,80,100} ед. магического урона^* врагам и отравить землю под ними. Earthblight ^oуменьшает магическую броню на {1,2,3,4} ед.^* и медленно тянет врагов к их прежнему местоположению в течение 4 сек.\n\nЕсли цель отходит слишком далеко от прежнего местоположения, она будет возвращена назад. Эффект срабатывает только один раз на цель."
Ability_DiseasedRider2_tooltip_flavor,Доктор прописал пенициллин!
State_DiseasedRider_Ability2_Effect_name,Earthblight
State_DiseasedRider_Ability2_Effect_FRAME_effect,Порча тянет назад!
Ability_DiseasedRider3_name,Extinguish
Ability_DiseasedRider3_description,"Зверь Plague Rider питается разрушением, пожирая меньших существ и восстанавливая ману своему хозяину."
Ability_DiseasedRider3_description_simple,"Укажите существо, чтобы мгновенно его убить и превратить ^o{20,40,60,80}% его текущего запаса здоровья^* в ману Plague Rider.\n\nНа 4 уровне способность может быть активирована на вражеских существ."
Ability_DiseasedRider3_IMPACT_effect,"Убивает указанного воина и превращает {20,40,60,80}% его текущего запаса здоровья в ману.\n\nНа 4 уровне способность может быть активирована на вражеских и лесных существ. На союзных воинов способность действует как добивание."
Ability_DiseasedRider3_tooltip_flavor,Твоя смерть не будет напрасной.
Ability_DiseasedRider4_name,Plague Carrier
Ability_DiseasedRider4_description,"Plague Rider насылает эпидемию на врагов, кратковременно оглушая первую цель и нанося ей урон. Затем эпидемия перекидывается на другую цели поблизости."
Ability_DiseasedRider4_description_simple,"Укажите вражеского воина, чтобы ^oкратковременно оглушить^* и заразить его, нанося ^o{280,370,460} ед. магического урона, уменьшая скорость передвижения на 30% на 3 сек.^*. Заражение передаётся 10 раз между врагами поблизости.\n\nЗаражение мгновенно убивает существ.\n\n^gStaff of the Master^* позволяет заражению передаваться бесконечно."
Ability_DiseasedRider4_IMPACT_effect,"Оглушает цель на 0.1 сек. и заражает её, нанося ^o{280,370,460} ед. магического урона и уменьшая скорость передвижения на 30% на 3 сек.^*\n\Заражение передаётся 10 раз случайным врагам в радиусе 600 ед. и может поразить одного и того же воина несколько раз.\n\nЗаражение передаётся со скоростью 700 ед. Мгновенно убивает существ.\n\n^gStaff of the Master^* позволяет заражению передаваться бесконечно."
Ability_DiseasedRider4_name:ult_boost,Epidemic ^g(Усилено)^*
Ability_DiseasedRider4_description_simple:ult_boost,"Укажите вражеского воина, чтобы ^oкратковременно оглушить^* и и заразить его, который нанося ^o{280,370,460} ед. магического урона, уменьшая скорость передвижения на 30% на 3 сек.^*. Заражение передаётся бесконечное количество раз между врагами поблизости.\n\n^gСпособность усилена Staff of the Master.^*"
Ability_DiseasedRider4_description2:ult_boost,^gСпособность усилена Staff of the Master.^*
Ability_DiseasedRider4_IMPACT_effect:ult_boost,"Оглушает цель на 0.1 сек. и заражает её, нанося ^o{280,370,460} ед. магического урона и уменьшая скорость передвижения на 30% на 3 сек.^*\n\nЗаражение передаётся бесконечное количество раз случайным врагам в радиусе 600 ед. и может поразить одного и того же воина несколько раз.\n\nЗаражение передаётся со скоростью 700 ед. Мгновенно убивает существ."
Ability_DiseasedRider4_tooltip_flavor,"Ты, грязная крыса!"
State_DiseasedRider_Ability4_name,Plague Carrier
Hero_DiseasedRider_name,Plague Rider
Hero_DiseasedRider_description,"Зловоние Plague Rider можно учуять за версту, ведь мерзкий запах болезней следует за ним. Верхом на своем мёртвом скакуне, в окружении полчищ вонючих мух, Plague Rider сеет болезни среди друзей и врагов, собирая урожай смертей по всему Новоземью.
"
Hero_DiseasedRider_role,"Plague Rider обладает практически бесконечным запасом маны, поглощая воинов способностью Extinguish, и может эффективно сражаться благодаря малому времени восстановления способности Contagion. Способность Earthblight удерживает цели на месте, позволяя смертоносной способности Plague Carrier наносить колоссальный урон, когда заражение передаётся между ослабленными врагами."
Ability_Dreadknight1_name,Mors Certissima
Ability_Dreadknight1_description,"Lord Salforis заполняет область нечистыми душами, которые наносят урон врагам и мешают им исцеляться. Со временем цели восстанавливают часть потерянного здоровья."
Ability_Dreadknight1_description_simple,"Укажите область, чтобы нанести ^o{120,200,280,360} ед. магического урона^* всем задетым врагам.\n\nВ следующие 5 сек. они восполнят 40% потерянного здоровья, но при этом любое ^oисцеление будет уменьшено на 50%^*."
Ability_Dreadknight1_IMPACT_effect,"Через 0.5 сек., наносит {120,200,280,360} ед. магического урона всем задетым врагам, накладывая эффект Mors Certissima на 5 сек. Враги под действием этого эффекта постепенно восстанавливают 40% потерянного здоровья."
Ability_Dreadknight1_effect_header,Эффект(-ы) Mors Certissima
Ability_Dreadknight1_tooltip_flavor,"Жизнь непредсказуема, лишь смерть абсолютна."
Ability_Dreadknight2_name,Life Tap
Ability_Dreadknight2_description,"Salforis сражается копьём, истощающим души врагов. Активация способности замедляет ближайших противников и позволяет украсть часть здоровья при следующей атаке."
Ability_Dreadknight2_description_simple,"Активируйте, чтобы ^oуменьшить скорость передвижения окружающих противников на 40%^*, ослабевающее в течение 2 сек.\n\nНа 5 сек. или до успешной атаки вашего героя ^oувеличивает его скорость передвижения на 50 ед.^* и добавляет к следующей атаке ^o{60,80,100,120} ед. урона^*, тип урона преобразуется в высший магический и даёт ^o{70,80,90,100}% вампиризма^*."
Ability_Dreadknight2_IMPACT_effect,Позволяет мгновенно атаковать врага и накладывает на вашего героя эффект Life Tap на 5 сек или до вашей следующей атаки. Накладывает на врагов в радиусе действия на 2 сек. ослабевающее уменьшение скорости передвижения на 40%.
Ability_Dreadknight2_effect_header,
Ability_Dreadknight2_tooltip_flavor,Когда жизнь даёт тебе лимоны - ты умираешь!
Ability_Dreadknight3_name,Dark Lord's Presence
Ability_Dreadknight3_description,"Пассивно забирает {30,45,60,75}% регенерации здоровья у ближайших противников и передаёт вашему герою, а также наносит {20,30,40,50} ед. чистого урона ежесекундно. Урон равномерно распределяется между всеми врагами в радиусе действия способности. Минимально наносит 15 ед. урона в сек.\n\nИллюзии также распространяют ауру, но наносят лишь 33% от урона. Сокращение регенерации здоровья при этом не складывается."
Ability_Dreadknight3_description_simple,"Пассивно ^oзабирает {30,45,60,75}% регенерации здоровья^* у ближайших противников и передаёт вашему герою.\n\nВраги оказавшиеся поблизости получают до ^o{20,30,40,50} ед. чистого урона^* ежесекундон. Урон равномерно распределяется между всеми врагами в радиусе действия способности. Минимально наносит 15 ед. урона в сек."
Ability_Dreadknight3_IMPACT_effect,"Активируйте, чтобы выключить пассивное нанесение урона."
Ability_Dreadknight3_IMPACT_effect:salforis_dmgaura_on,"Активируйте, чтобы выключить пассивное нанесение урона."
Ability_Dreadknight3_IMPACT_effect:salforis_dmgaura_off,"Активируйте, чтобы включить пассивное нанесение урона."
Ability_Dreadknight3_tooltip_flavor,"Не понимаю, почему все вокруг меня умирают."
State_Dreadknight_Ability3_description,"Каждую сек. получает чистый урон, равный количеству зарядов"
State_Dreadknight_Ability3_EnemyRegen_name,Dark Lord's Presence
State_Dreadknight_Ability3_EnemyRegen_FRAME_effect,"Lord Salforis забирает {30,45,60,75}% вашей регенерации здоровья"
Ability_Dreadknight4_name,The Undying
Ability_Dreadknight4_name:ult_boost,The Undying ^g(Усилено)^*
Ability_Dreadknight4_description,"Lord Salforis вынимает из врага душу, нанося большой урон с течением времени. Под воздействием способности цель не может исцеляться или регенерировать здоровье."
Ability_Dreadknight4_description2,"^gСпособность можно усилить Staff of the Master.^*\n\n^gЭффект усиления:^* увеличивает регенерацию здоровья героя при действующей способности. Если враг умирает, находясь под эффектом The Undying, ваш герой получает его душу. Душа даёт бонусы, размер которых зависит от максимального запаса здоровья цели."
Ability_Dreadknight4_description2:ult_boost,^gСпособность усилена Staff of the Master.^*
Ability_Dreadknight4_description_simple,"Укажите воина, чтобы наложить на него эффект The Undying на 12 сек. Пока действует способность, цель получает ^o{25,40,55} ед. высшего магического урона^* в сек. и не может исцеляться или регенерировать здоровье.\n\n^gStaff of the Master^* увеличивает регенерацию здоровья героя при действующей способности. Если враг умирает, находясь под эффектом The Undying, ваш герой получает его душу. Душа даёт бонусы, размер которых зависит от максимального запаса здоровья цели."
Ability_Dreadknight4_description_simple:ult_boost,"Укажите воина, чтобы наложить на него эффект The Undying на 12 сек. Пока действует способность, цель получает ^o{25,40,55} ед. высшего магического урона^* в сек. и не может исцеляться или регенерировать здоровье. ^gПри действующей способности регенерация вашего героя увеличивается на 15 + 3 ед. за каждые 100 ед. отсутствующего здоровья. Если враг умирает, находясь под эффектом The Undying, ваш герой получает его душу. Душа даёт бонусы, размер которых зависит от максимального запаса здоровья цели.\n\nСпособность усилена ^gStaff of the Master^*."
Ability_Dreadknight4_IMPACT_effect,Накладывает на цель эффект The Undying на 12 сек.
Ability_Dreadknight4_IMPACT_effect:ult_boost,"Накладывает на цель эффект The Undying на 12 сек.\n\n^gПри действующей способности регенерация вашего героя ускоряется на 15 + 3 ед. за каждые 100 ед. отсутствующего здоровья. Если враг умирает, находясь под эффектом The Undying, ваш герой получает его душу. Душа даёт бонусы, размер которых зависит от максимального запаса здоровья цели.\n\nСпособность усилена ^gStaff of the Master^*."
Ability_Dreadknight4_effect_header,Эффект(-ы) The Undying
Ability_Dreadknight4_tooltip_flavor,"То, что убивает тебя, делает меня сильнее."
State_Dreadknight_Ability1_Regen_name,Mors Certissima
State_Dreadknight_Ability1_Debuff_name,Mors Certissima
State_Dreadknight_Ability2_name,Life Tap
State_Dreadknight_Ability2_description,Следующая атака преобразует 100% нанесённого урона в высший магический урон.
State_Dreadknight_Ability2_Slow_name,Life Tap
State_Dreadknight_Ability3_name,Presence of the Dark Lord
State_Dreadknight_Ability3_description,Получает чистый урон!
State_Dreadknight_Ability3_Self_name,Presence of the Dark Lord
State_Dreadknight_Ability3_Self_description,Увеличивает регенерацию здоровья за каждого врага неподалёку.
State_Dreadknight_Ability4_name,The Undying
State_Dreadknight_Ability4_FRAME_effect,"Не может исцеляться или регенерировать здоровье\nЭффект наносит {25,40,55} ед. высшего магического урона в сек."
State_Dreadknight_Ability4_FRAME_effect:ult_boost,"Не может исцеляться или регенерировать здоровье\nЭффект наносит {25,40,55} ед. высшего магического урона в сек."
Hero_Dreadknight_name,Lord Salforis
Hero_Dreadknight_description,"Lord Salforis носит титул барона Blackwal и повелевает силами некромантов, что отличает его от обычных воинов Преисподней. Будучи одновременно и генералом, и могущественным колдуном, он одним присутствием на поле битвы пугает врагов, разрушает их тела и иссушает души. Ходят слухи, что удар его копья обрекает душу на погибель."
Hero_Dreadknight_role,"Lord Salforis - сеющий смерть колдун ближнего боя, который может наносить огромное количество разового урона с помощью заклинания Mors Certissima. Способность The Undying не дает указанной цели исцеляться и регенерировать здоровье. Это сочетание позволяет герою с лёгкостью убивать противников, способных быстро восстанавливать здоровье."
Ability_DoctorRepulsor1_name,
Ability_DoctorRepulsor1_description,"Doctor устанавливает на земле одно из собственных патентованных устройств - Magnetic Contraption. Подошедший к Contraption враг нарушает тонкое магнитное поле, провоцируя взрыв."
Ability_DoctorRepulsor1_description_simple,"Активируйте, чтобы установить Contraption в текущем местоположении Doctor Repulsor. Contraption взорвётся с приближением врага и нанесёт ^o{70,130,190,250} ед. магического урона^*. Развеивает туман войны вокруг Contraption."
Ability_DoctorRepulsor1_IMPACT_effect,"Устанавливает Contraption в текущем местоположении вашего героя. Через 1 секунду Contraption готов взорваться, если в радиусе 235 ед. от него окажется враг. Взрыв наносит {70,130,190,250} ед. магического урона в радиусе 260 ед. Contraption существует до 16 секунд.\n\nРазвеивает туман войны вокруг Contraption в радиусе 400 ед."
Ability_DoctorRepulsor1_tooltip_flavor,Как вообще работают эти магниты?
Ability_DoctorRepulsor2_name,
Ability_DoctorRepulsor2_description,"Doctor Repulsor мгновенно намагничивает указанного врага, бросая под себя мощный магнит с противоположным зарядом. Противник оглушается и медленно притягивается к лежащему магниту. К сожалению, магнит настолько мощный, что мешает передвигаться и самому Doctor Repulsor."
Ability_DoctorRepulsor2_description_simple,"Укажите врага, чтобы ^oоглушить его на {1,1.5,2,2.5} сек.^* и притянуть к вашему герою. Накладывает на Doctor Repulsor ^oуменьшение скорости передвижения на 50%^* на 3 сек."
Ability_DoctorRepulsor2_effect_header,Эффект(-ы) Magnetized
Ability_DoctorRepulsor2_IMPACT_effect,"Устанавливает магнит в текущем местоположении вашего героя. Оглушает цель на {1,1.5,2,2.5} сек. и притягивает её на {100,150,200,250} ед. к магниту за время действия способности. Накладывает эффект Self-Magnetized на вашего героя на 3 сек."
Ability_DoctorRepulsor2_tooltip_flavor,Минус на минус дает плюс.
State_DoctorRepulsor_Ability2_Self_name,Self-Magnetized
State_DoctorRepulsor_Ability2_name,Magnetized
Ability_DoctorRepulsor3_name,Electric Frenzy
Ability_DoctorRepulsor3_description,"Каждый раз, когда Doctor использует способности, его аппарат заряжается от излишков энергии и усиливает следующую атаку. Атака наносит дополнительный урон по площади, сводя мышцы задетых врагов небольшими разрядами."
Ability_DoctorRepulsor3_description_simple,"Пассивно заряжает Doctor Repulsor энергией каждый раз после использования способностей. Будучи заряженным, следующая атака вашего героя нанесёт дополнительные ^o{30,45,60,75} ед. магического урона^* в радиусе 300 ед. и ^oуменьшит скорость передвижения на 80% и скорость атаки на 50 ед.^* всех затронутых врагов на 0.6 сек."
Ability_DoctorRepulsor3_effect_header,Эффект(-ы) Fully Charged
Ability_DoctorRepulsor3_ABILITY_IMPACT_effect,"Следующая атака вашего героя нанесёт {30,45,60,75} ед. магического урона в радиусе 300 ед. вокруг цели и наложит эффект Electric Frenzy на 0.6 сек."
Ability_DoctorRepulsor3_tooltip_flavor,Electrician мне не ровня.
State_DoctorRepulsor_Ability3_name,Fully Charged
State_DoctorRepulsor_Ability3_FRAME_effect,"При атаке наносит {30,45,60,75} ед. магического урона в радиусе 300 ед. и накладывает эффект Electric Frenzy на 0.6 сек."
State_DoctorRepulsor_Ability3_Slow_name,Electric Frenzy
Ability_DoctorRepulsor4_name,Ludicrous Speed
Ability_DoctorRepulsor4_ACTIVATE_COST_effect,^cСтоимость маны: 15 ед. + 7% от максимального запаса маны героя^*
Ability_DoctorRepulsor4_description,"Doctor Repulsor расходует ману, и, разгоняя аппарат до немыслимой скорости, летит в указанное место. По пути он наносит урон всем задетым воинам и разрушает деревья."
Ability_DoctorRepulsor4_description_simple,"Укажите место, куда ^oсо скоростью передвижения {1500,2500,3500} ед.^* полетит ваш герой, расходуя ману во время полета. Герой неуязвим в течение полета.\n\nПассивно дает ^o{15,30,45} интеллекта^*."
Ability_DoctorRepulsor4_IMPACT_effect,"^cСтоимость маны: 15 ед. + 7% от максимального запаса маны героя^*\n\nЛетит в указанное место со скоростью передвижения {1500,2500,3500} ед. Расходует 10 ед. + 1% от максимального запасы маны героя за каждые 100 ед. полета. Ваш герой немедленно остановится, если у него закончился запас маны.\n\nГерой неуязвим в течение полета. Герой может атаковать, активировать способности и использовать предметы в течение полета.\n\nПассивно дает ^o{15,30,45} интеллекта^*."
Ability_DoctorRepulsor4_tooltip_flavor,Мы достигли невозможного!
State_DoctorRepulsor_Ability4_name,Ludicrous Speed
Hero_DoctorRepulsor_name,Doctor Repulsor
Hero_DoctorRepulsor_description,"Жажду знаний знаменитого профессора археологии было невозможно утолить. Он алчно желал обладать сокрытыми в земле артефактами и тайнами ушедших эпох. Наука, психология, социология... забытые пороки человечества и догматы Преисподней манили профессора, который был рад и запретным знаниям настолько, что в итоге был ими поглощён. Лишенный свободы воли, он стал известен как Doctor Repulsor и превратился в раба силы, о которой прежде мечтал."
Hero_DoctorRepulsor_role,"Doctor Repulsor - самый мобильный герой в игре. Противники ненавидят его за возможность постоянного перемещения благодаря способности Ludicrous Speed. Однако, герою вечно не хватает маны, поэтому её большой запас и восполняющие ману предметы нужны ему как воздух."
Ability_DrunkenMaster1_name,Lunge
Ability_DrunkenMaster1_description,
Ability_DrunkenMaster1_description2,
Ability_DrunkenMaster1_effect_header2,
Ability_DrunkenMaster1_tooltip_flavor,"You spin me right round, baby, right round"
